Tweet;Etiket
Allah'ım çıldıracağım. Yemin ederim çıldıracağım sinirimden. Bir yerden de çıkaramıyorum cam çerçeve indireceğim şimdi ne varsa.;kızgın
site ne zaman çalıştıda ürün stokları bitti diyor mal mısınız oğlum kimi kandırıyorsunuz!;kızgın
Sebebi neydi ki diye bağıracağım şimdi az kaldı;kızgın
Black friday ne amk bu yıl çıkardınız bu bokuda mal mısınız nesiniz.;kızgın
kısa kısa cevaplar vericeksen niye yazıyorsun gerizekalı;kızgın
cinnet geçiriyorum iyice çıldırttılar beni ;kızgın
Allah'ım etraf beyinsiz kaynıyor çıldıracağım ya;kızgın
Bok gibi geçti sınavım çıldıracağım;kızgın
Allah kahretsin bunları öyle öfkeliyim ki diyecek söz bulamıyorum;kızgın
Gerçek gerizekalı, deli bir kitle var, ama öyle böyle değil altına sıçmalı, bokuyla oynamalı falan. ;kızgın
Allah belamı versin ki günün üç saati keyfim yerindeyse geri kalan yirmi bir saat sinir küpü oluyorum;kızgın
Bütün gün yaptığım stres sonucu hiçbir şey olmamış gibi davranan ailem var bu tavırları beni delirtecek  ;kızgın
Erkekleri artık anlayamıyorum çıldıracağım;kızgın
Annemden ve babamdan nefret ediyorum. ;kızgın
Tek bir kelimeyle herşeyin düzeleceğini sanan aptallar sizden nefret ediyorum ;kızgın
Bir kitaba 25 tl verdiğim için gerizekalı diyen kişilerin, bir ruja 60 tl vermesi kaçıncı level;kızgın
Lan olum lan ne gerizekalısınız lan yine sinirlendim;kızgın
Nerede lan benim çikolatalı sütüm bak sinirlendim.;kızgın
Sizi zerre umursamayan insanlar için deli gibi üzülüyorsunuz. mal mısınız?;kızgın
Kendimi karşıma alıp konuşmak istiyorum bak gerizekalı bu iş böyle olmaz diye.;kızgın
Yarın sabah uyumadığım her dakika için kendime küfür edeceğim;kızgın
Ben takip atıyorum siz GT atmıyorsunuz ve ben size sövüyorum;kızgın
Allah belanı versin tudor cehennemde yan. nerden geldin başımıza kardeşim;kızgın
Lan padişah diye bağırıyor gerizekalılar ;kızgın
Susmasam kendi sesimde delireceğim. ;kızgın
Admin Bey size acayip sövüyorlar. Bilmediğim küfürler öğrendim.;kızgın
Tüm Türkiye de size yapılan küfürler ile inliyor şu an. Şerefsizler. Hain sürüsü;kızgın
Hayat bana cinnet geçir diye ısrarla olay çıkartıyor karşıma;kızgın
TBMM kürsüsünden sert sözler: Demirören ve ekibi Türk futbolundan defolup gitsin ;kızgın
Sosyal medya dedikoduları o kadar çok baymaya başladı ki artık ağız dolusu küfür edeceğim yeter;kızgın
Şimdi size soruyorum mal mısınız amk;kızgın
Terörden beslenen, övünen ve geçinen, destek veren, destek alan, yanında duran göz yuman kim varsa Allah belasını versin ;kızgın
1 milyon 200 bin TL yiyin devletin malı yiyin yemeyen keriz zaten anlayamıyorum bu insanlar beni sinirden öldürücek ;kızgın
Kızlar salak mısınız gidin okuyun mal gibi evleniyorsunuz;kızgın
Allah kimseyi gerizekalı insanlarla sınamasın;kızgın
