Zaman damgası,Ders Seç,Dersi geçmek ne kadar kolay?,Ders mesleki açıdan gerekli mi?
,,,
22.12.2023 10:59:43,Bilgisayar Bilimlerine Giriş,7.0,10.0
22.12.2023 11:42:05,Türkçe 1,10.0,1.0
23.12.2023 00:47:14,Bilgisayar Bilimlerine Giriş,4.0,10.0
29.12.2023 21:23:25,Mikroişlemci Sistemleri,2.0,3.0
31.12.2023 00:41:19,Lojik Devreler,8.0,8.0
31.12.2023 00:46:38,Alt Seviye Programlama,3.0,7.0
31.12.2023 00:47:44,Doğal Dil İşlemeye Giriş,8.0,10.0
31.12.2023 00:51:15,Yapay Zeka,9.0,10.0
31.12.2023 00:52:05,Yönetim Bilgi Sistemleri,2.0,5.0
31.12.2023 01:44:22,Bilgisayar Donanımı,8.0,10.0
31.12.2023 01:45:46,Ayrık Matematik,5.0,9.0
31.12.2023 01:57:53,Bilgisayar Projesi,7.0,10.0
31.12.2023 01:58:28,Veri Yapıları ve Algoritmalar,3.0,9.0
31.12.2023 02:24:06,İleri İngilizce 1,6.0,1.0
31.12.2023 02:28:16,Veri Madenciliğine Giriş,7.0,9.0
31.12.2023 02:29:28,Genel Staj,10.0,10.0
31.12.2023 02:31:05,Veritabanı Yönetimi,9.0,10.0
31.12.2023 02:34:46,Yapısal Programlamaya Giriş,3.0,10.0
31.12.2023 02:56:11,Veri İletişimi,4.0,10.0
31.12.2023 11:42:34,Türkçe 2,10.0,1.0
31.12.2023 12:00:29,Mikroişlemci Sistemleri ve Assembly Dili,3.0,8.0
31.12.2023 12:48:26,Mobil Programlamaya Giriş,5.0,7.0
31.12.2023 13:01:54,Bilgiye Erişim Ve Arama Motorları,8.0,5.0
31.12.2023 14:46:48,Elektronik Devreler,6.0,2.0
31.12.2023 14:56:19,Veri Tabanı Sistemlerinde Güncel Konular,3.0,5.0
31.12.2023 15:02:14,Türkçe 2,10.0,1.0
31.12.2023 15:11:22,Fizik 1,2.0,4.0
31.12.2023 15:15:51,Atatürk İlkeleri ve İnkılâp Tarihi 2,10.0,1.0
31.12.2023 15:20:53,Matematik 2,7.0,1.0
