Zaman damgası,Hoca seç,Dersi ne kadar güzel anlatır?,Dersini geçmek ne kadar kolaydır?,Dersi ne kadar iyi öğretir?,Dersi ne kadar eğlenceli anlatır?
,,,,,
20.12.2023 22:58:10,Dr. Ahmet Elbir,1.0,5.0,1.0,1.0
20.12.2023 23:38:37,Prof. Dr. Banu Diri,10.0,10.0,10.0,8.0
20.12.2023 23:50:20,Doç. Dr. M. Amaç Güvensan,8.0,4.0,9.0,5.0
21.12.2023 00:30:58,Dr. M. Utku Kalay,3.0,8.0,6.0,3.0
21.12.2023 10:22:23,Dr. Erkan Uslu,9.0,6.0,8.0,7.0
21.12.2023 10:22:30,Dr. H. İrem Türkmen,10.0,3.0,7.0,5.0
21.12.2023 10:22:49,Dr. Ahmet Elbir,9.0,10.0,9.0,8.0
21.12.2023 10:26:50,Dr. Erkan Uslu,1.0,1.0,1.0,1.0
21.12.2023 10:27:38,Prof. Dr. M. Elif Karslıgil,10.0,7.0,10.0,10.0
21.12.2023 10:28:28,Prof. Dr. Banu Diri,10.0,8.0,9.0,10.0
21.12.2023 10:28:48,Doç. Dr. Ali Can Karaca,3.0,8.0,2.0,2.0
21.12.2023 10:28:54,Dr. Furkan Çakmak,9.0,2.0,8.0,8.0
21.12.2023 10:29:00,Prof. Dr. M. Fatih Amasyalı,10.0,9.0,10.0,10.0
21.12.2023 10:29:16,Prof. Dr. M. Fatih Amasyalı,10.0,4.0,10.0,10.0
21.12.2023 10:29:18,Dr. Erkan Uslu,8.0,5.0,9.0,8.0
21.12.2023 10:29:37,Doç. Dr. M. Amaç Güvensan,6.0,6.0,7.0,2.0
21.12.2023 10:29:38,Dr. Oğuz Altun,1.0,2.0,2.0,2.0
21.12.2023 10:29:53,Doç. Dr. Hamza Osman İlhan,6.0,9.0,2.0,2.0
21.12.2023 10:30:01,Doç. Dr. Ali Can Karaca,9.0,5.0,9.0,10.0
21.12.2023 10:30:37,Prof. Dr. Banu Diri,10.0,5.0,10.0,10.0
21.12.2023 10:35:24,Dr. Göksel Biricik,8.0,6.0,7.0,10.0
21.12.2023 10:35:48,Prof. Dr. Oya Kalıpsız,3.0,10.0,3.0,2.0
21.12.2023 10:47:31,Prof. Dr. M. Fatih Amasyalı,10.0,10.0,10.0,10.0
21.12.2023 11:02:46,Doç. Dr. M. Amaç Güvensan,10.0,5.0,8.0,9.0
21.12.2023 11:03:07,Dr. Erkan Uslu,3.0,2.0,3.0,1.0
21.12.2023 11:03:29,Prof. Dr. Banu Diri,7.0,5.0,7.0,9.0
21.12.2023 11:06:09,Prof. Dr. Banu Diri,10.0,8.0,10.0,10.0
21.12.2023 11:06:24,Doç. Dr. M. Amaç Güvensan,6.0,4.0,4.0,5.0
21.12.2023 11:06:43,Dr. Yunus Emre Selçuk,7.0,10.0,7.0,7.0
21.12.2023 11:07:41,Prof. Dr. M. Elif Karslıgil,10.0,10.0,10.0,10.0
21.12.2023 11:07:42,Doç. Dr. Mehmet Sıddık Aktaş,5.0,8.0,5.0,5.0
21.12.2023 11:08:04,Prof. Dr. M. Fatih Amasyalı,10.0,8.0,10.0,10.0
21.12.2023 11:08:12,Dr. M. Utku Kalay,1.0,4.0,1.0,1.0
21.12.2023 11:08:15,Doç. Dr. Gökhan Bilgin,6.0,8.0,6.0,4.0
21.12.2023 11:08:38,Prof. Dr. Banu Diri,7.0,8.0,8.0,7.0
21.12.2023 11:08:39,Prof. Dr. Songül Varlı,7.0,4.0,5.0,3.0
21.12.2023 11:08:40,Dr. Ahmet Elbir,6.0,2.0,5.0,2.0
21.12.2023 11:10:20,Doç. Dr. Ali Can Karaca,10.0,7.0,10.0,10.0
21.12.2023 11:10:33,Dr. Erkan Uslu,1.0,1.0,2.0,1.0
21.12.2023 11:11:02,Doç. Dr. M. Amaç Güvensan,9.0,6.0,9.0,8.0
21.12.2023 11:12:12,Prof. Dr. Oya Kalıpsız,1.0,6.0,2.0,1.0
21.12.2023 11:12:19,Prof. Dr. M. Elif Karslıgil,9.0,8.0,9.0,7.0
21.12.2023 11:12:45,Doç. Dr. Gökhan Bilgin,7.0,3.0,5.0,4.0
21.12.2023 11:13:13,Doç. Dr. Mehmet Sıddık Aktaş,6.0,5.0,7.0,4.0
21.12.2023 11:13:17,Doç. Dr. Ali Can Karaca,7.0,9.0,8.0,7.0
21.12.2023 11:13:41,Doç. Dr. M. Amaç Güvensan,9.0,4.0,9.0,6.0
21.12.2023 11:14:33,Prof. Dr. M. Fatih Amasyalı,7.0,5.0,8.0,7.0
21.12.2023 11:15:18,Dr. M. Utku Kalay,5.0,7.0,6.0,1.0
21.12.2023 11:15:39,Dr. Oğuz Altun,3.0,6.0,5.0,1.0
21.12.2023 11:16:06,Dr. Göksel Biricik,8.0,7.0,9.0,7.0
21.12.2023 11:16:28,Dr. Erkan Uslu,7.0,4.0,8.0,3.0
21.12.2023 11:16:47,Doç. Dr. Hamza Osman İlhan,6.0,5.0,8.0,4.0
21.12.2023 11:17:31,Doç. Dr. Ali Can Karaca,7.0,7.0,9.0,6.0
21.12.2023 11:17:56,Dr. Ahmet Elbir,6.0,6.0,7.0,5.0
21.12.2023 11:18:14,Dr. Furkan Çakmak,10.0,2.0,8.0,5.0
21.12.2023 11:18:40,Prof. Dr. Banu Diri,8.0,5.0,7.0,6.0
21.12.2023 11:19:05,Prof. Dr. Sırma Yavuz,4.0,5.0,5.0,3.0
21.12.2023 11:19:48,Prof. Dr. Oya Kalıpsız,4.0,4.0,6.0,3.0
21.12.2023 11:49:47,Doç. Dr. Mehmet Sıddık Aktaş,10.0,5.0,10.0,10.0
21.12.2023 11:50:32,Doç. Dr. M. Amaç Güvensan,5.0,1.0,5.0,1.0
21.12.2023 11:50:46,Prof. Dr. M. Elif Karslıgil,8.0,5.0,8.0,8.0
21.12.2023 11:51:05,Dr. Ahmet Elbir,10.0,10.0,10.0,10.0
21.12.2023 11:51:36,Dr. Oğuz Altun,8.0,3.0,8.0,1.0
21.12.2023 11:52:19,Doç. Dr. Hamza Osman İlhan,3.0,3.0,3.0,3.0
21.12.2023 11:55:51,Prof. Dr. M. Fatih Amasyalı,8.0,4.0,8.0,7.0
21.12.2023 12:07:55,Doç. Dr. M. Amaç Güvensan,6.0,4.0,7.0,5.0
21.12.2023 12:24:22,Dr. M. Utku Kalay,3.0,5.0,3.0,1.0
21.12.2023 12:25:36,Dr. Oğuz Altun,1.0,4.0,1.0,1.0
21.12.2023 12:32:30,Dr. Ahmet Elbir,6.0,8.0,10.0,7.0
21.12.2023 12:32:55,Doç. Dr. M. Amaç Güvensan,7.0,6.0,7.0,5.0
21.12.2023 12:33:16,Dr. Oğuz Altun,1.0,1.0,1.0,1.0
21.12.2023 12:33:49,Dr. Furkan Çakmak,9.0,6.0,7.0,7.0
21.12.2023 12:34:19,Doç. Dr. Gökhan Bilgin,7.0,8.0,8.0,9.0
21.12.2023 12:34:58,Prof. Dr. Banu Diri,7.0,2.0,7.0,8.0
21.12.2023 12:36:01,Doç. Dr. Ali Can Karaca,7.0,7.0,7.0,4.0
21.12.2023 12:51:16,Prof. Dr. Oya Kalıpsız,6.0,8.0,7.0,6.0
21.12.2023 13:32:44,Doç. Dr. M. Amaç Güvensan,7.0,3.0,8.0,1.0
21.12.2023 13:33:14,Dr. Furkan Çakmak,8.0,4.0,8.0,8.0
21.12.2023 13:33:42,Dr. Oğuz Altun,2.0,2.0,2.0,1.0
21.12.2023 13:34:01,Dr. Yunus Emre Selçuk,6.0,6.0,5.0,9.0
21.12.2023 13:34:19,Dr. Ahmet Elbir,9.0,6.0,8.0,8.0
21.12.2023 13:36:48,Doç. Dr. M. Amaç Güvensan,5.0,1.0,7.0,1.0
21.12.2023 13:41:05,Dr. H. İrem Türkmen,10.0,10.0,10.0,10.0
21.12.2023 14:42:11,Doç. Dr. Hamza Osman İlhan,1.0,10.0,1.0,1.0
21.12.2023 14:42:30,Prof. Dr. Banu Diri,10.0,10.0,10.0,10.0
21.12.2023 14:42:48,Prof. Dr. M. Fatih Amasyalı,10.0,10.0,10.0,10.0
21.12.2023 15:22:58,Dr. Ahmet Elbir,10.0,7.0,10.0,10.0
21.12.2023 15:55:42,Prof. Dr. M. Elif Karslıgil,1.0,1.0,1.0,1.0
21.12.2023 15:56:24,Dr. M. Utku Kalay,1.0,1.0,1.0,1.0
21.12.2023 15:56:44,Doç. Dr. M. Amaç Güvensan,10.0,5.0,10.0,7.0
21.12.2023 16:02:43,Prof. Dr. M. Elif Karslıgil,3.0,4.0,2.0,3.0
21.12.2023 16:26:22,Prof. Dr. M. Fatih Amasyalı,10.0,8.0,10.0,10.0
21.12.2023 17:05:20,Prof. Dr. Oya Kalıpsız,1.0,6.0,1.0,1.0
21.12.2023 23:24:58,Doç. Dr. M. Amaç Güvensan,3.0,1.0,3.0,1.0
22.12.2023 12:18:05,Prof. Dr. Banu Diri,10.0,10.0,10.0,10.0
22.12.2023 14:18:09,Dr. Furkan Çakmak,1.0,1.0,1.0,1.0
22.12.2023 14:37:41,Prof. Dr. Banu Diri,6.0,8.0,6.0,4.0
22.12.2023 14:37:59,Prof. Dr. M. Fatih Amasyalı,10.0,8.0,10.0,10.0
22.12.2023 14:38:21,Prof. Dr. M. Elif Karslıgil,9.0,5.0,8.0,7.0
22.12.2023 14:38:41,Doç. Dr. Gökhan Bilgin,7.0,7.0,6.0,5.0
22.12.2023 14:39:06,Doç. Dr. M. Amaç Güvensan,10.0,8.0,10.0,8.0
22.12.2023 14:39:26,Dr. M. Utku Kalay,5.0,6.0,6.0,1.0
22.12.2023 14:39:51,Dr. Oğuz Altun,7.0,1.0,3.0,5.0
22.12.2023 14:40:08,Dr. Yunus Emre Selçuk,10.0,10.0,10.0,10.0
22.12.2023 14:40:31,Dr. Furkan Çakmak,10.0,3.0,9.0,9.0
22.12.2023 14:40:50,Dr. Ahmet Elbir,8.0,10.0,8.0,7.0
22.12.2023 14:41:11,Doç. Dr. Hamza Osman İlhan,8.0,10.0,9.0,9.0
22.12.2023 14:41:32,Dr. Erkan Uslu,3.0,6.0,6.0,1.0
22.12.2023 16:05:17,Prof. Dr. Banu Diri,10.0,10.0,10.0,10.0
22.12.2023 17:16:55,Doç. Dr. Hamza Osman İlhan,9.0,7.0,9.0,10.0
23.12.2023 22:00:29,Dr. Ahmet Elbir,9.0,5.0,9.0,6.0
24.12.2023 18:49:38,Prof. Dr. M. Fatih Amasyalı,10.0,10.0,10.0,10.0
24.12.2023 19:13:04,Prof. Dr. Banu Diri,10.0,8.0,10.0,10.0
24.12.2023 19:14:24,Doç. Dr. Gökhan Bilgin,10.0,10.0,10.0,7.0
24.12.2023 19:27:46,Dr. Ahmet Elbir,10.0,6.0,10.0,5.0
25.12.2023 21:29:59,Prof. Dr. Banu Diri,5.0,8.0,7.0,8.0
25.12.2023 21:30:24,Prof. Dr. M. Elif Karslıgil,6.0,1.0,6.0,1.0
25.12.2023 21:30:45,Prof. Dr. M. Fatih Amasyalı,7.0,5.0,7.0,2.0
25.12.2023 21:31:08,Prof. Dr. Oya Kalıpsız,3.0,10.0,3.0,1.0
25.12.2023 21:31:31,Doç. Dr. Gökhan Bilgin,4.0,7.0,5.0,4.0
25.12.2023 21:31:59,Dr. Ahmet Elbir,9.0,6.0,8.0,3.0
25.12.2023 21:32:22,Dr. Erkan Uslu,7.0,5.0,6.0,2.0
25.12.2023 21:32:44,Dr. Furkan Çakmak,8.0,3.0,7.0,4.0
25.12.2023 21:33:06,Doç. Dr. Hamza Osman İlhan,7.0,7.0,7.0,5.0
25.12.2023 21:33:27,Dr. M. Utku Kalay,3.0,6.0,2.0,1.0
31.12.2023 02:22:14,Dr. Ahmet Elbir,5.0,6.0,5.0,5.0
31.12.2023 02:53:37,Dr. Furkan Çakmak,10.0,1.0,10.0,10.0
31.12.2023 14:50:52,Doç. Dr. Ali Can Karaca,9.0,5.0,9.0,10.0
31.12.2023 19:58:31,Dr. Erkan Uslu,2.0,2.0,2.0,2.0
01.01.2024 16:17:52,Prof. Dr. Banu Diri,8.0,9.0,8.0,9.0
01.01.2024 16:18:11,Prof. Dr. M. Elif Karslıgil,8.0,7.0,7.0,6.0
01.01.2024 16:21:56,Prof. Dr. M. Fatih Amasyalı,9.0,7.0,9.0,9.0
01.01.2024 16:22:23,Doç. Dr. Ali Can Karaca,7.0,8.0,7.0,6.0
04.01.2024 12:36:10,Doç. Dr. Gökhan Bilgin,4.0,5.0,5.0,3.0
04.01.2024 12:46:58,Dr. Yunus Emre Selçuk,6.0,8.0,6.0,6.0
05.01.2024 08:34:02,Prof. Dr. Songül Varlı,5.0,6.0,5.0,6.0
05.01.2024 19:31:48,Prof. Dr. Banu Diri,8.0,10.0,9.0,10.0
05.01.2024 19:33:42,Dr. Ahmet Elbir,3.0,6.0,7.0,5.0
05.01.2024 19:34:59,Doç. Dr. Hamza Osman İlhan,8.0,9.0,8.0,7.0
07.01.2024 17:16:29,Prof. Dr. M. Elif Karslıgil,5.0,4.0,5.0,4.0
07.01.2024 18:18:11,Dr. Yunus Emre Selçuk,7.0,9.0,7.0,5.0
07.01.2024 18:36:22,Dr. Oğuz Altun,3.0,7.0,5.0,1.0
08.01.2024 02:13:50,Doç. Dr. M. Amaç Güvensan,2.0,1.0,3.0,1.0
08.01.2024 02:14:37,Doç. Dr. M. Amaç Güvensan,1.0,1.0,1.0,1.0
09.01.2024 16:23:15,Prof. Dr. Banu Diri,10.0,9.0,10.0,10.0
09.01.2024 21:42:00,Prof. Dr. M. Elif Karslıgil,3.0,7.0,2.0,2.0
09.01.2024 21:42:15,Prof. Dr. M. Fatih Amasyalı,9.0,8.0,9.0,8.0
09.01.2024 21:42:28,Prof. Dr. Banu Diri,3.0,5.0,3.0,3.0
09.01.2024 21:42:46,Doç. Dr. Ali Can Karaca,6.0,9.0,6.0,8.0
09.01.2024 21:42:58,Doç. Dr. Gökhan Bilgin,9.0,9.0,9.0,9.0
09.01.2024 21:43:13,Dr. Ahmet Elbir,6.0,3.0,5.0,3.0
09.01.2024 23:53:29,Prof. Dr. M. Elif Karslıgil,6.0,4.0,7.0,3.0
10.01.2024 15:32:56,Dr. M. Utku Kalay,1.0,4.0,4.0,1.0
11.01.2024 13:03:05,Prof. Dr. Banu Diri,10.0,9.0,10.0,10.0
11.01.2024 13:05:04,Prof. Dr. M. Fatih Amasyalı,10.0,8.0,9.0,9.0
11.01.2024 14:34:58,Doç. Dr. M. Amaç Güvensan,9.0,4.0,8.0,3.0
11.01.2024 16:09:38,Dr. Yunus Emre Selçuk,4.0,8.0,4.0,5.0
